	subject	virus tax id	taxonomy	name	seq_size	genome	order	family	genus	genome_type	genome_composition	species	virus	baltimore	segment_n	seq_n	genome_size	complete_genome
11792	NC_038851	2030954.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Virgaviridae; Furovirus	Japanese soil-borne wheat mosaic virus genomic RNA 2 for capsid protein, 64-kDa readthrough protein, 19-kDa cys-rich protein, complete and partial cds	3574	Riboviria	undefined	Virgaviridae	Furovirus	1.0	ssRNA	Japanese soil-borne wheat mosaic virus	Japanese soil-borne wheat mosaic virus	ssRNA(+)	2.0	2.0	10800.0	0.0
13248	NC_043576	150058.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Jatobal orthobunyavirus	Jatobal virus nucleocapsid protein and nonstructural protein genes, complete cds	940	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Jatobal orthobunyavirus	Jatobal virus	ssRNA(-)	3.0	3.0	12191.0	0.0
13249	NC_043577	150058.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Jatobal orthobunyavirus	Jatobal virus isolate BeAn 423380 polyprotein gene, complete cds	4403	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Jatobal orthobunyavirus	Jatobal virus	ssRNA(-)	3.0	3.0	12191.0	0.0
13250	NC_043578	150058.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Jatobal orthobunyavirus	Jatobal virus RNA polymerase gene, complete cds	6848	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Jatobal orthobunyavirus	Jatobal virus	ssRNA(-)	3.0	3.0	12191.0	0.0
5001	NC_034398	990280.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Jeju orthohantavirus	Jeju virus strain 10-11 nucleocapsid protein gene, complete cds	1754	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Jeju orthohantavirus	Jeju virus	ssRNA(-)	3.0	3.0	11912.0	0.0
5002	NC_034404	990280.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Jeju orthohantavirus	Jeju virus strain 10-11 glycoprotein precursor, gene, complete cds	3570	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Jeju orthohantavirus	Jeju virus	ssRNA(-)	3.0	3.0	11912.0	0.0
5003	NC_034399	990280.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Jeju orthohantavirus	Jeju virus strain 10-11 RNA-dependent RNA polymerase gene, complete cds	6588	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Jeju orthohantavirus	Jeju virus	ssRNA(-)	3.0	3.0	11912.0	0.0
5610	NC_024111	1491393.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; unclassified Flaviviridae; Mogiana tick virus	Jingmen Tick Virus isolate SY84 segment 4, complete sequence	2794	Riboviria	undefined	Flaviviridae	undefined	1.0	ssRNA	Mogiana tick virus	Jingmen tick virus	ssRNA(+)	4.0	4.0	11579.0	0.0
5611	NC_024113	1491393.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; unclassified Flaviviridae; Mogiana tick virus	Jingmen Tick Virus isolate SY84 segment 1, complete sequence	3114	Riboviria	undefined	Flaviviridae	undefined	1.0	ssRNA	Mogiana tick virus	Jingmen tick virus	ssRNA(+)	4.0	4.0	11579.0	0.0
5612	NC_024114	1491393.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; unclassified Flaviviridae; Mogiana tick virus	Jingmen Tick Virus isolate SY84 segment 3, complete sequence	2824	Riboviria	undefined	Flaviviridae	undefined	1.0	ssRNA	Mogiana tick virus	Jingmen tick virus	ssRNA(+)	4.0	4.0	11579.0	0.0
5613	NC_024112	1491393.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; unclassified Flaviviridae; Mogiana tick virus	Jingmen Tick Virus isolate SY84 segment 2, complete sequence	2847	Riboviria	undefined	Flaviviridae	undefined	1.0	ssRNA	Mogiana tick virus	Jingmen tick virus	ssRNA(+)	4.0	4.0	11579.0	0.0
13531	NC_043229	688437.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Quaranjavirus	Johnston Atoll virus isolate LBJ polymerase PB1 (PB1) gene, complete cds	2338	Riboviria	Articulavirales	Orthomyxoviridae	Quaranjavirus	1.0	ssRNA	Johnston Atoll quaranjavirus	Johnston Atoll quaranjavirus	ssRNA(-)	2.0	2.0	3567.0	0.0
13532	NC_043230	688437.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Quaranjavirus	Johnston Atoll virus isolate LBJ hemagglutinin (HA) gene, complete cds	1229	Riboviria	Articulavirales	Orthomyxoviridae	Quaranjavirus	1.0	ssRNA	Johnston Atoll quaranjavirus	Johnston Atoll quaranjavirus	ssRNA(-)	2.0	2.0	3567.0	0.0
12764	NC_038706	1664809.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Jonvirus; Jonchet jonvirus	Jonchet virus strain B81-CI-2004 segment L, complete sequence	6904	Riboviria	Bunyavirales	Phasmaviridae	Jonvirus	1.0	ssRNA	Jonchet jonvirus	Jonchet virus	ssRNA(-)	3.0	3.0	14098.0	0.0
12765	NC_038707	1664809.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Jonvirus; Jonchet jonvirus	Jonchet virus strain B81-CI-2004 segment S, complete sequence	1745	Riboviria	Bunyavirales	Phasmaviridae	Jonvirus	1.0	ssRNA	Jonchet jonvirus	Jonchet virus	ssRNA(-)	3.0	3.0	14098.0	0.0
12766	NC_038708	1664809.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Jonvirus; Jonchet jonvirus	Jonchet virus strain B81-CI-2004 segment M, complete sequence	5449	Riboviria	Bunyavirales	Phasmaviridae	Jonvirus	1.0	ssRNA	Jonchet jonvirus	Jonchet virus	ssRNA(-)	3.0	3.0	14098.0	0.0
1820	NC_036606	1851087.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Phenuiviridae;Phlebovirus;unclassified Phlebovirus;Kabuto mountain virus	Kabuto mountain virus N, NSs genes for nucleocapsid protein, nonstructural protein, complete cds, strain: T32	1892	Riboviria	undefined	undefined	unclassified Phlebovirus	1.0	ssRNA	Kabuto mountain uukuvirus	Kabuto mountain virus	ssRNA(-)	3.0	4.0	13341.0	0.0
4910	NC_036604	1851087.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kabuto mountain uukuvirus	Kabuto mountain virus RdRp gene for RNA-dependent RNA polymerase, complete cds, strain: T32	6430	Riboviria	Bunyavirales	Phenuiviridae	Kabutovirus	1.0	ssRNA	Kabuto mountain uukuvirus	Kabuto mountain virus	ssRNA(-)	3.0	4.0	13341.0	0.0
4911	NC_036605	1851087.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kabuto mountain uukuvirus	Kabuto mountain virus GPs gene for envelope glycoproteins, complete cds, strain: T32	3151	Riboviria	Bunyavirales	Phenuiviridae	Kabutovirus	1.0	ssRNA	Kabuto mountain uukuvirus	Kabuto mountain virus	ssRNA(-)	3.0	4.0	13341.0	0.0
4912	NC_036606	1851087.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kabuto mountain uukuvirus	Kabuto mountain virus N, NSs genes for nucleocapsid protein, nonstructural protein, complete cds, strain: T32	1868	Riboviria	Bunyavirales	Phenuiviridae	Kabutovirus	1.0	ssRNA	Kabuto mountain uukuvirus	Kabuto mountain virus	ssRNA(-)	3.0	4.0	13341.0	0.0
7920	NC_004210	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 1, complete genome	3774	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8120	NC_004212	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 2, complete genome	3035	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8121	NC_004213	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 3, complete genome	2415	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8122	NC_004214	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 4, complete genome	2121	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8213	NC_004199	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 12, complete genome	756	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8884	NC_004206	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 10, complete genome	946	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8885	NC_004207	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 9, complete genome	1054	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8886	NC_004208	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 8, complete genome	1114	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
8887	NC_004209	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus segment 7, complete genome	1259	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
9490	NC_004205	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus segment 11, complete sequence	894	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
10506	NC_004215	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 5, complete genome	1947	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
10507	NC_004216	104580.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Seadornavirus	Kadipiro virus chromosome segment 6, complete genome	1670	Riboviria	undefined	Reoviridae	Seadornavirus	1.0	dsRNA	Kadipiro virus	Kadipiro virus	dsRNA	12.0	12.0	20985.0	0.0
5026	NC_034499	307164.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kaeng Khoi orthobunyavirus	Kaeng Khoi virus strain PSC-19 segment L polymerase gene, complete cds	6866	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kaeng Khoi orthobunyavirus	Kaeng Khoi virus	ssRNA(-)	3.0	3.0	12409.0	0.0
5027	NC_034500	307164.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kaeng Khoi orthobunyavirus	Kaeng Khoi virus strain PSC-19 segment M glycoprotein precursor gene, complete cds	4568	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kaeng Khoi orthobunyavirus	Kaeng Khoi virus	ssRNA(-)	3.0	3.0	12409.0	0.0
5028	NC_034501	307164.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kaeng Khoi orthobunyavirus	Kaeng Khoi virus strain PSC-19 segment S nucleoprotein and nonstructural protein NSs genes, complete cds	975	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kaeng Khoi orthobunyavirus	Kaeng Khoi virus	ssRNA(-)	3.0	3.0	12409.0	0.0
11302	NC_038738	80939.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kairi orthobunyavirus	Kairi virus strain BeAr8226 segment L, complete sequence	6910	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kairi orthobunyavirus	Kairi virus	ssRNA(-)	3.0	3.0	12497.0	0.0
11303	NC_038739	80939.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kairi orthobunyavirus	Kairi virus strain BeAr8226 segment M, complete sequence	4594	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kairi orthobunyavirus	Kairi virus	ssRNA(-)	3.0	3.0	12497.0	0.0
11304	NC_038740	80939.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Kairi orthobunyavirus	Kairi virus strain BeAr8226 segment S, complete sequence	993	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Kairi orthobunyavirus	Kairi virus	ssRNA(-)	3.0	3.0	12497.0	0.0
13900	NC_040492	1564120.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kaisodi uukuvirus	Kaisodi virus isolate G14132 segment S, complete sequence	1757	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Kaisodi uukuvirus	Kaisodi virus	ssRNA(-)	3.0	3.0	11464.0	0.0
13901	NC_040493	1564120.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kaisodi uukuvirus	Kaisodi virus isolate G14132 segment M, complete sequence	3232	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Kaisodi uukuvirus	Kaisodi virus	ssRNA(-)	3.0	3.0	11464.0	0.0
13902	NC_040494	1564120.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Uukuvirus; Kaisodi uukuvirus	Kaisodi virus isolate G14132 segment L, complete sequence	6475	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Kaisodi uukuvirus	Kaisodi virus	ssRNA(-)	3.0	3.0	11464.0	0.0
1779	NC_029933	1712570.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Nairoviridae;Orthonairovirus;Kasokero orthonairovirus;Kasokero virus	Kasokero virus isolate Z-52963 envelope glycoprotein gene, complete cds	4656	Riboviria	undefined	undefined	Kasokero orthonairovirus	1.0	ssRNA	Kasokero orthonairovirus	Kasokero virus	ssRNA(-)	3.0	4.0	23036.0	0.0
2108	NC_029932	1712570.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Kasokero orthonairovirus	Kasokero virus isolate Z-52963 nucleoprotein gene, complete cds	1719	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Kasokero orthonairovirus	Kasokero virus	ssRNA(-)	3.0	4.0	23036.0	0.0
2109	NC_029933	1712570.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Kasokero orthonairovirus	Kasokero virus isolate Z-52963 envelope glycoprotein gene, complete cds	4598	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Kasokero orthonairovirus	Kasokero virus	ssRNA(-)	3.0	4.0	23036.0	0.0
2110	NC_036636	1712570.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Kasokero orthonairovirus	Kasokero virus isolate Z-52963 RNA-dependent RNA polymerase gene, complete cds	12063	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Kasokero orthonairovirus	Kasokero virus	ssRNA(-)	3.0	4.0	23036.0	0.0
11654	NC_034559	765147.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Kenkeme orthohantavirus	Kenkeme virus isolate Fuyuan-Sr-326 nucleocapsid gene, complete cds	1597	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Kenkeme orthohantavirus	Kenkeme virus	ssRNA(-)	3.0	3.0	11731.0	0.0
11655	NC_034560	765147.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Kenkeme orthohantavirus	Kenkeme virus isolate Fuyuan-Sr-326 RNA-dependent RNA polymerase gene, complete cds	6499	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Kenkeme orthohantavirus	Kenkeme virus	ssRNA(-)	3.0	3.0	11731.0	0.0
11656	NC_034565	765147.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus; Kenkeme orthohantavirus	Kenkeme virus isolate Fuyuan-Sr-326 glycoprotein gene, complete cds	3635	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Kenkeme orthohantavirus	Kenkeme virus	ssRNA(-)	3.0	3.0	11731.0	0.0
11679	NC_034388	1712571.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Keterah orthonairovirus	Keterrah virus isolate P61361 envelope glycoprotein gene, complete cds	5412	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Keterah orthonairovirus	Keterrah virus	ssRNA(-)	3.0	3.0	19471.0	0.0
11680	NC_034389	1712571.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Keterah orthonairovirus	Keterrah virus isolate P61361 nucleoprotein gene, complete cds	1787	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Keterah orthonairovirus	Keterrah virus	ssRNA(-)	3.0	3.0	19471.0	0.0
11681	NC_034392	1712571.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Nairoviridae; Orthonairovirus; Keterah orthonairovirus	Keterrah virus isolate P61361 RNA-dependent RNA polymerase gene, complete cds	12272	Riboviria	Bunyavirales	Nairoviridae	Orthonairovirus	1.0	ssRNA	Keterah orthonairovirus	Keterrah virus	ssRNA(-)	3.0	3.0	19471.0	0.0
13225	NC_043627	35514.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Keystone orthobunyavirus	Keystone virus strain B64-5587.05 segment M, complete sequence	4529	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Keystone orthobunyavirus	Keystone virus	ssRNA(-)	3.0	3.0	12455.0	0.0
13226	NC_043628	35514.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Keystone orthobunyavirus	Keystone virus strain B64-5587.05 segment S, complete sequence	965	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Keystone orthobunyavirus	Keystone virus	ssRNA(-)	3.0	3.0	12455.0	0.0
13227	NC_043629	35514.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Keystone orthobunyavirus	Keystone virus strain B64-5587.05 segment L, complete sequence	6961	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Keystone orthobunyavirus	Keystone virus	ssRNA(-)	3.0	3.0	12455.0	0.0
11722	NC_034518	1980475.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	Khabarovsk virus isolate Fuyuan-Mm-217 glycoprotein gene, complete cds	3706	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Khabarovsk orthohantavirus	Khabarovsk orthohantavirus	ssRNA(-)	3.0	3.0	12132.0	0.0
11723	NC_034519	1980475.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	Khabarovsk virus isolate Fuyuan-Mm-217 RNA-dependent RNA polymerase gene, complete cds	6581	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Khabarovsk orthohantavirus	Khabarovsk orthohantavirus	ssRNA(-)	3.0	3.0	12132.0	0.0
11724	NC_034527	1980475.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Hantaviridae; Mammantavirinae; Orthohantavirus	Khabarovsk virus isolate Fuyuan-Mm-217 nucleocapsid gene, complete cds	1845	Riboviria	Bunyavirales	Hantaviridae	Orthohantavirus	1.0	ssRNA	Khabarovsk orthohantavirus	Khabarovsk orthohantavirus	ssRNA(-)	3.0	3.0	12132.0	0.0
11669	NC_034458	1406344.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Herbevirus; Kibale herbevirus	Kibale virus strain P05/UG/2008 segment S nucleocapsid (N) gene, complete cds	1212	Riboviria	Bunyavirales	Peribunyaviridae	Herbevirus	1.0	ssRNA	Kibale herbevirus	Kibale virus	ssRNA(-)	3.0	3.0	11322.0	0.0
11670	NC_034460	1406344.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Herbevirus; Kibale herbevirus	Kibale virus strain P05/UG/2008 segment L RNA-dependent RNA polymerase (RdRp) gene, complete cds	7427	Riboviria	Bunyavirales	Peribunyaviridae	Herbevirus	1.0	ssRNA	Kibale herbevirus	Kibale virus	ssRNA(-)	3.0	3.0	11322.0	0.0
11671	NC_034468	1406344.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Herbevirus; Kibale herbevirus	Kibale virus strain P05/UG/2008 segment M glycoprotein precursor (GPC) gene, complete cds	2683	Riboviria	Bunyavirales	Peribunyaviridae	Herbevirus	1.0	ssRNA	Kibale herbevirus	Kibale virus	ssRNA(-)	3.0	3.0	11322.0	0.0
5033	NC_034463	1980539.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Orthophasmavirus	Kigluaik phantom virus strain G10N nucleoprotein (N) gene, complete cds	2212	Riboviria	Bunyavirales	Phasmaviridae	Orthophasmavirus	1.0	ssRNA	Kigluaik phantom orthophasmavirus	Kigluaik phantom orthophasmavirus	ssRNA(-)	3.0	3.0	11701.0	0.0
5034	NC_034469	1980539.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Orthophasmavirus	Kigluaik phantom virus strain G10N glycoprotein precursor (GnGc) gene, complete cds	2792	Riboviria	Bunyavirales	Phasmaviridae	Orthophasmavirus	1.0	ssRNA	Kigluaik phantom orthophasmavirus	Kigluaik phantom orthophasmavirus	ssRNA(-)	3.0	3.0	11701.0	0.0
5035	NC_034462	1980539.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phasmaviridae; Orthophasmavirus	Kigluaik phantom virus strain G10N RNA-dependent RNA polymerase (RdRp) gene, complete cds	6697	Riboviria	Bunyavirales	Phasmaviridae	Orthophasmavirus	1.0	ssRNA	Kigluaik phantom orthophasmavirus	Kigluaik phantom orthophasmavirus	ssRNA(-)	3.0	3.0	11701.0	0.0
